"","Gender","Age","Openness"
"1",0.534074702886248,0.0444717152332612,0.0377906388564701
"2",0.484634974533107,0.00153138586911531,-0.0519954894683542
"3",0.513624787775891,0.0487987448299618,0.0164254136444798
"4",0.51679117147708,-0.0235905987074751,0.0283044483915818
"5",0.501230899830221,-0.0279497631715457,-0.0121795310751952
"6",0.524830220713073,-0.00494265212987121,0.0678456901943293
"7",0.539668930390492,-0.00947856611010764,0.0732757191065257
"8",0.503310696095076,-0.0299207493850038,0.0263290734105884
"9",0.529448217317487,0.0345236172357474,0.0283530524875464
"10",0.515424448217317,-0.0543358090702776,0.00781593841514315
"11",0.52455857385399,0.0443150327118884,-0.0458623337102109
"12",0.567945670628183,0.0276616651960177,0.0229845233146477
"13",0.533709677419355,0.00625326605117958,0.0373654879617446
"14",0.504176570458404,-0.0295194102792465,-0.131925371638279
"15",0.545619694397284,-0.0658233419276616,-0.116508721296399
"16",0.506926994906621,-0.0771805359565589,0.00669310628485052
"17",0.52848896434635,-0.00629401212679954,-0.0142540802568755
"18",0.533378607809847,0.038058955574055,0.0925157310721769
"19",0.494830220713073,-0.0886249760398157,0.121735203294235
"20",0.523191850594227,-0.0137827864384131,-0.0194580911691982
"21",0.505135823429542,0.0333573395208465,-0.00838983886211786
"22",0.548947368421053,-0.0769252417873871,0.0266576018448203
"23",0.58088285229202,-0.0377943837046547,0.0737378181275172
"24",0.517342954159593,0.0685985471440754,-0.0717356732237653
"25",0.532079796264856,-0.0777809598670972,-0.0594895952284453
"26",0.553123938879457,-0.0326977210277458,-0.0270360497757074
"27",0.526112054329372,0.0919935622578832,0.0169353861939741
"28",0.554516129032258,-0.0512722938909742,0.150143248762736
"29",0.535687606112054,0.019275320176101,0.0602575321776341
"30",0.595764006791171,-0.0390274813889685,0.0922578269685822
"31",0.563293718166384,-0.0144057638789053,-0.123554819817581
"32",0.514524617996604,-0.0533090732894645,-0.03492517951141
"33",0.519431239388795,-0.115244364264974,-0.0111981404284299
"34",0.511409168081494,0.0215168368010828,-0.138293029205863
"35",0.512775891341256,-0.118660954726302,0.0988363518109288
"36",0.534634974533107,0.0171400605394489,0.0668799931557717
"37",0.519303904923599,0.0405691921063379,0.0210081339665
"38",0.516578947368421,0.00654858779955881,-0.0167748070925135
"39",0.523344651952462,0.0218190458398481,-0.0083391037185531
"40",0.544227504244482,-0.0413650003756113,-0.115871610436769
"41",0.529634974533107,0.0555784997856094,-0.0638108654017469
"42",0.55251273344652,-0.00871360646601009,0.082480311380632
"43",0.551375212224109,0.169436661208999,0.0585408379015282
"44",0.522614601018676,-0.0141437135808266,0.0622999175429142
"45",0.547945670628183,0.0542976111564526,-0.125342080855377
"46",0,0,0
"47",0,0,0
"48",0,0,0
"49",0,0,0
"50",0,0,0
"51",0,0,0
"52",0,0,0
"53",0,0,0
"54",0,0,0
"55",0,0,0
"56",0,0,0
"57",0,0,0
"58",0,0,0
"59",0,0,0
"60",0,0,0
"61",0,0,0
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",0,0,0
"69",0,0,0
"70",0,0,0
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,0,0
"80",0,0,0
"81",0,0,0
"82",0,0,0
"83",0,0,0
"84",0,0,0
"85",0,0,0
"86",0,0,0
"87",0,0,0
"88",0,0,0
"89",0,0,0
"90",0,0,0
"91",0,0,0
"92",0,0,0
"93",0,0,0
"94",0,0,0
"95",0,0,0
"96",0,0,0
"97",0,0,0
"98",0,0,0
"99",0,0,0
"100",0,0,0
"101",0,0,0
"102",0,0,0
"103",0,0,0
"104",0,0,0
"105",0,0,0
"106",0,0,0
"107",0,0,0
"108",0,0,0
"109",0,0,0
"110",0,0,0
"111",0,0,0
"112",0,0,0
"113",0,0,0
"114",0,0,0
"115",0,0,0
"116",0,0,0
"117",0,0,0
"118",0,0,0
"119",0,0,0
"120",0,0,0
"121",0,0,0
"122",0,0,0
"123",0,0,0
"124",0,0,0
"125",0,0,0
"126",0,0,0
"127",0,0,0
"128",0,0,0
"129",0,0,0
"130",0,0,0
"131",0,0,0
"132",0,0,0
"133",0,0,0
"134",0,0,0
"135",0,0,0
"136",0,0,0
"137",0,0,0
"138",0,0,0
"139",0,0,0
"140",0,0,0
"141",0,0,0
"142",0,0,0
"143",0,0,0
"144",0,0,0
"145",0,0,0
"146",0,0,0
"147",0,0,0
"148",0,0,0
"149",0,0,0
"150",0,0,0
"151",0,0,0
"152",0,0,0
"153",0,0,0
"154",0,0,0
"155",0,0,0
"156",0,0,0
"157",0,0,0
"158",0,0,0
"159",0,0,0
"160",0,0,0
"161",0,0,0
"162",0,0,0
"163",0,0,0
"164",0,0,0
"165",0,0,0
"166",0,0,0
"167",0,0,0
"168",0,0,0
"169",0,0,0
"170",0,0,0
"171",0,0,0
"172",0,0,0
"173",0,0,0
"174",0,0,0
"175",0,0,0
"176",0,0,0
"177",0,0,0
"178",0,0,0
"179",0,0,0
"180",0,0,0
"181",0,0,0
"182",0,0,0
"183",0,0,0
"184",0,0,0
"185",0,0,0
"186",0,0,0
"187",0,0,0
"188",0,0,0
"189",0,0,0
"190",0,0,0
"191",0,0,0
"192",0,0,0
"193",0,0,0
"194",0,0,0
"195",0,0,0
"196",0,0,0
"197",0,0,0
"198",0,0,0
"199",0,0,0
"200",0,0,0
"201",0,0,0
"202",0,0,0
"203",0,0,0
"204",0,0,0
"205",0,0,0
"206",0,0,0
"207",0,0,0
"208",0,0,0
"209",0,0,0
"210",0,0,0
"211",0,0,0
"212",0,0,0
"213",0,0,0
"214",0,0,0
"215",0,0,0
"216",0,0,0
"217",0,0,0
"218",0,0,0
"219",0,0,0
"220",0,0,0
"221",0,0,0
"222",0,0,0
"223",0,0,0
"224",0,0,0
"225",0,0,0
"226",0,0,0
"227",0,0,0
"228",0,0,0
"229",0,0,0
"230",0,0,0
"231",0,0,0
"232",0,0,0
"233",0,0,0
"234",0,0,0
"235",0,0,0
"236",0,0,0
"237",0,0,0
"238",0,0,0
"239",0,0,0
"240",0,0,0
"241",0,0,0
"242",0,0,0
"243",0,0,0
"244",0,0,0
"245",0,0,0
"246",0,0,0
"247",0,0,0
"248",0,0,0
"249",0,0,0
"250",0,0,0
"251",0,0,0
"252",0,0,0
"253",0,0,0
"254",0,0,0
"255",0,0,0
"256",0,0,0
"257",0,0,0
"258",0,0,0
"259",0,0,0
"260",0,0,0
"261",0,0,0
"262",0,0,0
"263",0,0,0
"264",0,0,0
"265",0,0,0
"266",0,0,0
"267",0,0,0
"268",0,0,0
"269",0,0,0
"270",0,0,0
"271",0,0,0
"272",0,0,0
"273",0,0,0
"274",0,0,0
"275",0,0,0
"276",0,0,0
"277",0,0,0
"278",0,0,0
"279",0,0,0
"280",0,0,0
"281",0,0,0
"282",0,0,0
"283",0,0,0
"284",0,0,0
"285",0,0,0
"286",0,0,0
"287",0,0,0
"288",0,0,0
"289",0,0,0
"290",0,0,0
"291",0,0,0
"292",0,0,0
"293",0,0,0
"294",0,0,0
"295",0,0,0
"296",0,0,0
"297",0,0,0
"298",0,0,0
"299",0,0,0
"300",0,0,0
